id,rating_total,rating_label,full_text,llm_label,comment
1,1.2,negative,"Единственный плюс был, это работа из дома. Никуда с утра ехать не нужно, все домашние удобства под рукой. Пересмотреть мотивацию сотрудников, а также их обучение. Стать более лояльными к своим сотрудникам, особенно в трудные для них периоды. Ответ представителя компании Январь 2026",,
2,2.3,negative,"Мне очень нравилось что работа рядом с домом,но к сожалению график 1/3 это очень тяжело!К тому же отношения с руководителем немного испортились ! И здоровье подкачало из-за графика и из-за переживаний за мужа! Поменять руководителя и график работы ! Так как на кассовом центе в краснодаре объем работы очень большой людей в сменах на сутках где-то 2 человека и вечером в ночь приходит только 3 ночной кассир,а где-то по 3 человека и вечером приходит 4 кассир в ночь ! Соответственно за день кассиры устают которые суточные и ночью у них уже теряется внимание и концентрация ! Ответ представителя компании Апрель 2026",,
3,2.8,negative,"График работы, возможность брать дополнительные выходные или выходить в дополнительные смены. Начать относиться к работающим по ГПХ как к людям. Не сокращать вознаграждение при растущей реальной инфляции в стране. Ответ представителя компании Январь 2026",,
4,4.5,positive,"Много возможностей для развития, хорошие условия труда и достаточно конкурентоспособная заработная плата Начиная с middle позиций есть ограничения в заработной плате, особенно если начинать со стажера, а не приходить с рынка Ответ представителя компании Январь 2026",,
5,5.0,positive,"-хайповая ЗП, никаких потолков, только мой скилл, -офис дома, главное тишину обеспечить и ок, никого не касается как при этом выглядишь и во что одет, -крутой тим, коллеги не просто планктон, а такие же заряженные ребята как и я, было с кем обмениваться фишками, -статусно, как бы дальше жизнь ни сложилась, запись в резюме о том, что работал в таком банке, будет мне в плюс. Не все так просто с карьерным ростом, если чего то хочешь добиться, нужно не просто классно работать, а еще и не нарушать дисциплину, а я грешил опозданиями. Ответ представителя компании Февраль 2026",,
6,4.8,positive,"Коллектив попался отличный: от адаптации до выхода в боевую группу. Большинство молодые, руководительнице моей группы было около 25 лет. На всех этапах руководители поддерживали. На моей вакансии была возможность выходить на неполный день, что было очень удобно, но не учитывают местное время, но это было не сильно критично, т.к. у меня +2ч к мск. Выходные плавающие, на этой неделе могли поставить 4 рабочих дня, а на следующей 6 дней. Подарки на праздники, льготные продукты и сервисы банка, ДМС со стоматологией, добросервис, куда входят финансовые, юридические, психологические и ЗОЖ-консультации, которыми можно было пользоваться бесплатно. Часовая ставка хорошая, премия тоже, на неё влияешь прямым образом. Пока что самое лучшее место, где я работала. Некоторые клиенты неадекватные; Не учитывается местное время; По словам коллег - график 2/2 не соблюдается, его выстраивают по потребности на линии; Резко может измениться время начала смены, из-за чего график нужно проверять в начале дня и в конце. Из приложения приходит уведомление, что график работы изменён, но не всегда и может опоздать. Ответ представителя компании Январь 2026",,
7,5.0,positive,"-система оплаты труда, хороший оклад плюс мотивационная часть и приличный соцпакет, -комфортный офис и было удобно добираться от моего дома, -дружелюбные коллеги, -понятные задачи и реалистичный kpi, -полноценный ДМС со стоматологией и компенсация фитнеса. -меньше внимания уделять вопросам дисциплины, особенно что касается опозданий, сделать акцент на результате. Ответ представителя компании Март 2026",,
8,2.8,negative,"1. Возможность работать удаленно, дома. 2. Хороший дружный коллектив, который в любой момент поможет. 3. Дружелюбное начальство.",,
9,4.8,positive,"Нереально крутой офис, великолепный условия для работы и отдыха. Динамичный, крутой коллектив. Интересные и разнообразные задачи Сильный бренд Нужно быть готовым к ненормированому рабочему дню, но этого никто и не скрывает при трудоустройстве, всё честно Ответ представителя компании Июнь 2026",,
10,4.0,positive,"Консультирую клиентов по различным вопросам - иногда попадаются сложные кейсы, тогда консультируюсь с более опытными коллегами - никто не оставляет наедине с проблемами. Коллектив, конечно, у нас отличный. Несмотря на то что работаю из дома, не чувствовал себя одиноко, без поддержки))) Иногда попадаются очень сложные клиенты, которые адекватных объяснений просто не понимают. Ответ представителя компании Март 2026",,
11,5.0,positive,"Мне работа нравилась за отсутствие рутины. Плюс каждая успешная встреча это драйв. Платили всегда вовремя и через бот я отслеживал свою статистику. Регулировать доход научился быстро, тут все просто: чем больше дополнительных продуктов банка продал, тем больше на карту получил и никак иначе. В отличие от дистанционного консультанта, я должен был отвечать на все вопросы сходу, то есть полноценно владеть всем объемом информации по продуктам и услугам. До сих пор удивляюсь, как у меня тогда не стала квадратной голова. Ответ представителя компании Март 2026",,
12,4.3,positive,"Хорошее место для старта и набора опыта общения с людьми, навыкам продаж. Идеально для студентов. Хорошо для подработки. Погоня за показателями, убивает комфорт, стабильность, внутреннюю уверенность сотрудника. Делают упор на обучение новых, а не на сохранение старых. За последнее время сильно изменилось отношение к сотрудникам. Руководство делегирует важные рабочие моменты на низший руководящий состав, который не всегда бывает компетентен. Вследствие чего упускает, на мой взгляд, ключевые моменты взаимодействия с сотрудниками. Ответ представителя компании Март 2026",,
13,2.7,negative,"Крутой коллектив ! Появились друзья на работе с которыми есть желание общаться и в не работы ! Много амбициозных и выполнимых задач. Совет всем кто читает ! Не увольняйтесь до выплаты квартальной премии , ато ее на заплатят . Даже если ты отработал полный квартал ( как я весь 1) и уволишься за несколько недель до выплаты премии , то тебе ее не заплатят. Выводы делайте сами Полезный отзыв Это полезный отзыв 1 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
14,4.0,positive,"Неплохо работалось. Понятные задачи, честно платили и главное коллектив. Такой классный народ, первое время все никак не мог привыкнуть, что абсолютно нет конкуренции. Меня сразу очень тепло приняли в команду, даже не понял сам, как адаптировался и со всеми подружился. В реале, конечно редко доводилось видеться, но зато заочно регулярно что-то мутили. Работа сопряжена с непосредственным общением с клиентами, то есть лицом к лицу и не менее 15 встреч в день. Я от этого подвыгорел за 3 года. Ответ представителя компании Май 2026",,
15,1.8,negative,"Есть интересные бенефиты для сотрудников (обеды, хороший ДМС). Есть гибридный формат работы Процессы в компании нуждаются в структурировании и улучшении. Не всегда понятно кто за что отвечает Ответ представителя компании Май 2026",,
16,4.7,positive,"Понравилась сама работа, прозрачные условия труда, выполнения обещаний руководством. KPI присутствует, но адекватный. График кому как, но для меня был удобный Уровень оплаты труда. По сравнению с другими банками, зп мизерная, учитывая то, что речь идет об одним из топовых банков Ответ представителя компании Апрель 2026",,
